date,stock,score,entry_price,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,mae_5d,bucket
2025-07-23,ICICIBANK,75,1477.2,-0.01,-0.42,-3.02,-0.77,70-79
2025-07-23,SBIN,55,806.12,-2.86,-2.32,-1.89,-2.86,50-59
2025-07-23,BAJFINANCE,65,962.38,-9.07,-8.62,-9.47,-9.07,60-69
2025-07-23,M&M,50,3234.83,-1.8,-1.83,-1.26,-2.12,50-59
2025-07-23,SRF,50,3182.95,-4.27,-3.21,-6.9,-4.77,50-59
2025-07-23,JINDALSTEL,65,975.46,0.03,0.56,0.87,0.03,60-69
2025-07-23,NATCOPHARM,50,1028.92,-9.05,-5.97,-11.31,-9.05,50-59
2025-07-23,IPCALAB,55,1457.88,1.57,4.77,-4.84,1.57,50-59
2025-07-23,GLAND,60,2019.19,0.71,1.11,-3.95,-0.98,60-69
2025-07-23,TANLA,70,664.5,-9.5,-5.88,-4.0,-9.5,70-79
2025-07-23,PAYTM,70,1071.15,2.15,-0.28,-1.47,-0.32,70-79
2025-07-23,SONACOMS,50,486.0,-4.8,-5.66,-8.79,-5.66,50-59
2025-07-23,EXIDEIND,50,389.88,-2.46,-0.18,-2.6,-2.85,50-59
2025-07-23,DIXON,70,16548.63,1.14,1.26,-0.26,0.87,70-79
2025-07-23,KEI,75,3965.6,-1.55,-1.74,-4.04,-2.23,70-79
2025-07-23,HAVELLS,50,1560.13,-4.13,-2.84,-5.34,-4.13,50-59
2025-07-24,HDFCBANK,50,988.25,0.62,0.45,-0.69,-0.23,50-59
2025-07-24,BANKBARODA,60,239.13,-1.86,-3.64,-1.95,-3.64,60-69
2025-07-24,HINDALCO,55,690.54,-0.42,-1.8,-1.27,-1.8,50-59
2025-07-24,RECLTD,55,384.14,-1.19,-2.4,-3.81,-3.04,50-59
2025-07-24,CGPOWER,60,678.85,-3.13,-2.74,0.18,-3.15,60-69
2025-07-24,JINDALSTEL,85,998.47,-1.61,-3.54,-0.09,-3.54,80-89
2025-07-24,NATCOPHARM,60,993.28,-4.06,-4.57,-5.41,-5.79,60-69
2025-07-24,IPCALAB,70,1538.66,-3.39,-4.34,-9.56,-4.34,70-79
2025-07-24,AJANTPHARM,55,2765.38,0.96,-1.61,-6.34,-1.61,50-59
2025-07-24,TANLA,60,662.59,-5.0,-7.32,-5.13,-9.24,60-69
2025-07-24,PAYTM,65,1106.25,-3.0,-1.53,-3.7,-3.48,60-69
2025-07-24,MOTHERSON,55,102.73,-0.45,-5.71,-8.67,-5.71,50-59
2025-07-24,SONACOMS,50,487.79,-4.14,-8.4,-8.55,-8.4,50-59
2025-07-24,BALKRISIND,65,2713.68,0.32,-1.72,-10.95,-1.72,60-69
2025-07-24,ASHOKLEY,50,121.88,-1.2,-3.0,-4.0,-3.0,50-59
2025-07-24,INDIANB,80,638.55,-3.32,-4.67,-0.69,-5.76,80-89
2025-07-24,KEI,65,3901.18,0.41,-1.58,-1.62,-1.58,60-69
2025-07-25,ICICIBANK,55,1465.79,0.36,-0.37,-2.79,-0.37,50-59
2025-07-25,HINDALCO,65,688.4,-0.67,-3.03,-2.27,-3.03,60-69
2025-07-25,JINDALSTEL,65,998.17,-1.73,-5.46,-2.6,-5.46,60-69
2025-07-25,TORNTPHARM,60,3572.16,3.52,2.06,-0.85,0.53,60-69
2025-07-25,IPCALAB,70,1506.91,1.36,-3.9,-7.97,-3.9,70-79
2025-07-25,LAURUSLABS,55,836.23,5.22,1.38,-1.9,1.38,50-59
2025-07-25,CIPLA,85,1518.26,1.76,-1.94,-3.05,-1.94,80-89
2025-07-25,PHOENIXLTD,50,1523.45,-1.58,-4.83,-7.12,-4.83,50-59
2025-07-25,INDIANB,50,624.25,-3.6,-2.56,2.09,-3.6,50-59
2025-07-28,SBILIFE,60,1847.93,-0.53,-1.03,0.03,-2.93,60-69
2025-07-28,HINDALCO,55,684.33,-0.91,-0.24,-1.68,-2.45,50-59
2025-07-28,LAURUSLABS,65,887.63,-1.68,-3.15,-6.49,-4.49,60-69
2025-07-28,ALKEM,50,4998.81,-0.32,-2.87,-3.86,-2.94,50-59
2025-07-28,AJANTPHARM,55,2736.41,-0.57,-4.73,-4.26,-4.73,50-59
2025-07-28,DRREDDY,50,1287.4,-1.33,-4.85,-5.27,-5.19,50-59
2025-07-28,CIPLA,70,1557.39,-1.11,-3.62,-4.27,-4.4,70-79
2025-07-28,DABUR,50,519.26,1.34,1.47,-2.29,-0.71,50-59
2025-07-28,BALKRISIND,50,2679.74,-0.48,-4.09,-10.14,-4.21,50-59
2025-07-29,HDFCBANK,70,994.35,-0.46,-2.18,-2.56,-2.18,70-79
2025-07-29,ICICIBANK,60,1474.82,-0.98,-2.81,-3.58,-2.81,60-69
2025-07-29,ASIANPAINT,60,2377.13,1.23,1.47,3.2,-0.22,60-69
2025-07-29,JSWSTEEL,55,1028.99,-0.69,1.79,1.29,-0.69,50-59
2025-07-29,AMBUJACEM,60,607.05,-0.34,-1.2,-3.75,-2.84,60-69
2025-07-29,BOSCHLTD,55,39915.0,1.19,1.7,-3.27,0.36,50-59
2025-07-29,TORNTPHARM,65,3735.02,-2.39,-4.75,-3.77,-4.75,60-69
2025-07-29,BIOCON,50,397.67,-3.78,-6.48,-10.86,-6.48,50-59
2025-07-29,LAURUSLABS,50,908.2,-6.65,-5.75,-8.67,-6.65,50-59
2025-07-29,DRREDDY,60,1299.8,-6.09,-6.54,-6.12,-6.54,60-69
2025-07-29,ABBOTINDIA,70,34710.0,-3.21,-4.19,-6.19,-4.19,70-79
2025-07-29,EXIDEIND,60,389.83,-3.18,-1.77,-3.91,-3.18,60-69
2025-07-29,BALKRISIND,60,2722.24,-5.7,-6.83,-11.72,-6.83,60-69
2025-07-29,AFFLE,70,1985.4,-1.91,-1.34,-0.27,-3.61,70-79
2025-07-29,PIIND,80,4232.14,-1.4,-3.3,-9.46,-3.3,80-89
2025-07-29,JSL,50,675.26,4.16,7.05,5.21,0.48,50-59
2025-07-30,HDFCBANK,50,996.42,-1.67,-2.0,-2.25,-2.38,50-59
2025-07-30,LT,80,3629.65,-0.93,-1.0,0.78,-2.12,80-89
2025-07-30,SUNPHARMA,65,1718.11,-5.32,-7.99,-5.42,-7.99,60-69
