,Stock,Sector,Close,Score,Vol_Ratio,RSI,Liq_Cr,Dist_EMA20
1,AUROPHARMA,Pharma,1717.0,75,2.2,68.0,178.0,5.6
2,LAURUSLABS,Pharma,1915.0,75,9.0,69.0,626.8,4.5
3,BAJAJ-AUTO,Auto,12130.0,70,1.5,69.0,272.1,3.9
4,LTTS,IT,3608.4,70,6.0,58.0,40.5,1.7
5,INDIANB,Banking,898.75,65,1.3,63.0,111.5,2.7
6,KOTAKBANK,Banking,419.4,65,1.6,68.0,485.4,4.1
7,GLENMARK,Pharma,2480.0,60,1.8,68.0,118.9,5.3
8,BPCL,Energy,324.05,60,1.6,61.0,157.2,2.3
9,ICICIPRULI,Insurance,517.05,60,2.2,57.0,79.5,1.7
10,NYKAA,New-Age,349.55,60,1.2,67.0,218.5,5.1
11,ICICIBANK,Banking,1454.0,60,1.6,60.0,1368.0,2.0
12,TORNTPHARM,Pharma,5066.0,60,1.6,60.0,200.4,2.4
13,LICHSGFIN,NBFC,538.4,55,1.2,66.0,136.2,5.1
14,PIDILITIND,Consumer,1687.7,55,1.8,61.0,176.5,2.0
15,IDFCFIRSTB,Banking,85.97,55,1.7,58.0,100.8,1.6
16,AXISBANK,Banking,1300.0,55,1.3,64.0,592.2,3.8
17,SUNPHARMA,Pharma,1984.8,55,1.4,64.0,334.3,3.0
18,TCS,IT,2399.3,55,1.1,59.0,642.6,3.3
19,WIPRO,IT,184.5,55,2.1,57.0,147.6,1.9
20,POLYCAB,Cap Goods,9445.0,55,1.4,60.0,245.6,3.1
21,PERSISTENT,IT,5594.5,55,2.5,54.0,251.3,0.6
22,FEDERALBNK,Banking,356.7,51,1.4,55.0,169.8,1.2
23,BOSCHLTD,Auto,50000.0,50,1.2,79.0,232.0,7.1
24,GAIL,Energy,177.5,50,1.5,57.0,152.0,2.0
25,MRF,Auto,133745.0,50,2.9,53.0,59.5,0.5
26,DIVISLAB,Pharma,9467.0,50,1.5,84.0,380.6,9.9
27,CGPOWER,Electronics,916.0,50,1.4,58.0,207.3,3.5
